cloud_adoption,usage_frequency,training,integration,efficiency_improvement_percent
0,1,0,0,0.451535249257736
1,1,1,0,38.19311824918822
0,3,1,1,36.07930324094502
0,2,1,1,38.54497831594417
0,5,0,0,29.937465028503613
1,4,0,0,43.821021940009544
0,2,1,1,30.064757689770474
0,4,1,1,35.621506291663785
0,3,0,1,24.010185156493424
1,3,1,1,57.384140471620555
0,1,1,0,6.352099534954272
0,5,0,1,41.20856979826172
0,4,1,0,40.3352200087569
0,2,0,1,10.275303548146251
1,3,0,1,37.998922244932324
0,1,0,1,16.1483123211657
1,1,0,1,32.08709542182533
1,4,0,1,51.304532169158364
1,3,0,0,34.64162981721282
0,5,0,0,19.880907402554726
1,3,1,1,61.44203170089245
0,4,0,1,32.32258302621425
1,4,0,0,37.20129012635864
1,3,1,1,62.5251255733041
1,4,1,1,57.457970225531234
1,3,1,0,38.79079741647233
1,2,0,1,40.91755911543868
1,3,1,1,56.76578811611333
1,3,0,0,37.65958446109423
1,4,0,0,43.48175563326244
0,4,0,0,22.580623642888455
0,1,0,1,17.377468207245872
1,1,1,0,32.13123099845917
1,2,1,0,36.59627862714723
1,1,0,0,28.71182458129559
0,3,0,0,16.217282553499437
1,4,0,0,44.101228697431274
0,1,1,0,6.463614221862008
0,1,0,1,12.49606808791203
0,2,0,1,29.535094509552778
0,2,1,0,22.762665761737203
0,3,1,0,26.477752254895762
1,4,0,0,43.53962183484837
1,2,1,1,61.0422526293309
1,1,1,1,54.99024771143514
1,4,0,1,42.10239621343703
1,4,1,1,53.94749420465316
0,1,0,1,6.93294672224604
1,2,1,1,46.26446055529868
1,1,0,1,35.274596493261285
0,4,0,1,31.210075720338985
1,5,0,1,47.34760628406374
0,5,1,0,25.663240868154453
1,3,0,0,31.176043065222746
0,1,1,0,19.580856328023103
1,1,0,0,30.45181455846823
1,3,0,1,53.52912429668843
0,3,1,1,34.83834874537443
0,3,0,0,19.140767451950527
0,4,0,1,35.0494748052483
0,1,1,0,12.515704836636893
0,4,0,1,31.939224407652333
0,3,0,0,18.29352562854877
0,1,0,1,10.45421191457438
0,4,0,1,38.21048085553721
1,4,1,0,49.80593858639987
1,3,1,1,55.43517614073336
0,1,0,0,0.2632931002893777
1,3,1,0,41.10286902061233
1,1,0,0,14.017426995839955
1,5,1,0,55.27577938209306
1,2,0,1,52.52844604820986
0,2,0,1,14.906902759477564
1,2,0,1,54.88098464077486
0,3,0,0,22.07125631306207
1,5,0,1,52.63205609511446
1,1,0,0,25.136323524094394
1,4,1,1,59.32449846042531
0,1,0,1,23.53081986698856
1,4,1,1,62.5850786505898
0,1,0,0,10.909870243109072
1,5,1,1,66.79085922680675
0,4,1,1,39.440137397026916
1,3,1,0,46.63211682535357
0,1,0,1,12.965278830639594
0,1,0,0,0.0
1,4,1,1,64.06844287978325
0,3,0,0,7.494177758284566
1,3,1,0,43.65582911602412
1,5,0,1,52.800678561922915
1,3,1,0,48.216769655270355
1,3,1,0,52.82352292466764
1,3,0,0,41.024853236503745
1,2,1,0,43.362125094475466
1,5,0,0,41.85064177189609
1,1,1,0,34.08265423201768
1,4,1,1,58.35363146472091
1,1,0,0,22.64859276635278
1,5,0,0,42.98774445686581
0,4,0,1,27.854309824662046
0,5,1,1,42.63286903649752
1,3,0,1,49.75941509014277
1,4,1,1,54.72681555566954
1,3,1,1,51.35262948848085
1,1,0,1,27.08296639480244
1,1,0,1,42.07741401255424
1,4,1,0,46.01748520671207
1,4,1,0,53.303876158610706
1,5,0,1,57.37659430106153
0,5,0,0,31.594193105453854
1,3,0,0,33.94991650812453
0,4,0,0,15.262301063570439
1,1,0,1,27.22125012064186
1,5,1,1,51.0768217760895
0,5,1,0,35.80676612939451
1,1,1,1,48.87736286244457
0,5,1,0,37.3584405259892
1,3,0,0,27.35117848413596
1,4,0,0,45.194130725559646
0,1,0,0,1.508919858423238
1,4,1,1,55.46548252929123
0,5,1,1,41.39683882348408
1,5,0,1,55.392044612530384
0,1,0,0,0.0
0,3,1,1,34.814820431404414
1,2,1,0,42.14724122691835
1,1,0,1,40.536619481218075
0,2,0,0,10.879783286106221
1,2,1,0,33.301857509031045
1,3,0,0,35.74445113826112
1,2,0,1,34.6987086302694
0,2,0,1,14.410274218165249
0,3,1,1,28.186481982300105
0,2,1,1,20.44373160052988
0,2,1,0,17.164184160323025
0,2,1,1,35.64444371523454
0,1,1,1,36.28242007713771
0,1,1,0,12.132074208299528
0,1,1,0,20.43052763384828
0,3,0,0,13.027088408817026
1,5,0,1,46.74632140275719
0,2,0,0,13.504711307230385
1,2,0,0,31.174070433977832
1,3,0,0,44.090098039805575
1,2,0,1,32.32660759008622
0,1,0,0,18.980163541676383
0,5,1,1,52.95858661594078
0,4,1,1,39.91038213219073
0,2,0,0,8.50681104100741
1,1,0,0,21.420950655656913
0,4,1,1,40.548663195938964
0,5,0,0,24.080319222955108
0,4,0,0,22.568977067903056
0,1,1,1,23.52816669490847
0,4,0,1,37.07481845748332
1,3,1,0,45.625230155832234
0,4,0,1,28.71591486037134
1,2,1,0,45.12143290889695
0,2,1,0,11.88738184901124
1,3,1,0,46.70494176138567
0,1,0,1,15.127856682047167
0,2,1,0,12.945747347971086
1,5,0,0,36.45748360215746
1,2,0,0,35.05172501470789
1,2,0,1,44.81395345175347
0,1,0,1,15.862792148171796
1,4,1,1,68.58328888227362
0,2,1,1,32.20484090930634
0,3,0,1,31.249026597056076
1,4,0,0,42.101622935922606
1,5,1,1,63.62095217199004
0,1,0,1,9.712343742833287
0,5,1,1,41.98281872548618
1,4,0,0,38.71438864376391
1,4,0,1,56.815765510533524
1,4,1,1,63.84959779264832
0,5,0,0,26.65159534121308
0,4,1,1,44.350049537820375
0,5,0,0,27.636918578462414
0,4,0,0,21.30968805553413
0,3,0,0,7.506702992465226
0,4,1,0,35.695787864308386
1,5,0,0,42.70744076236762
0,2,0,1,25.442701388112724
0,4,0,0,25.926051457554447
0,2,0,0,6.649804032223266
1,3,1,1,59.74858040297969
0,1,1,0,13.195062603720508
0,3,0,1,23.22483836176638
1,4,1,1,61.28736617291329
0,2,0,1,21.422362945847702
0,2,0,0,10.19275757675446
0,5,0,0,18.328559922220215
0,2,1,0,19.392766802578304
0,5,1,1,56.39239364094203
1,1,1,0,21.07997885598989
1,4,1,0,54.34870220114206
1,5,1,0,60.285624666781544
0,1,1,1,18.20826140356924
0,2,1,1,27.65280543295227
0,2,1,0,14.996414210283277
1,1,1,0,44.26982688655939
0,2,0,0,15.515126333888913
0,1,1,0,20.75712687232366
1,5,1,1,65.60323612997398
0,5,1,1,51.560459748748215
1,1,1,1,44.958817164689606
1,5,1,1,71.79578813605279
1,5,1,0,54.256517879438896
0,5,1,0,31.603790416432805
0,3,1,0,34.054751331659716
0,4,1,1,39.89575619667432
0,2,1,0,15.506000458787678
0,3,1,1,30.45183051255014
0,5,0,1,30.467106634904795
0,1,0,0,9.222211755146844
1,5,1,0,54.505685614773924
0,4,1,0,41.48979487998541
1,5,0,1,60.9308909116206
0,1,1,0,16.285690650469856
0,4,0,1,37.019487705991416
0,5,0,0,22.522463317652583
1,4,0,1,40.72607097920347
1,2,0,1,35.0520847121263
1,2,0,0,30.736039146848015
1,5,1,1,63.8872926391443
0,4,0,1,34.122076941287304
1,1,1,0,34.37693109328265
0,5,1,1,48.74017362980862
0,2,0,0,17.50485815282145
1,2,0,1,39.36152074694614
1,5,1,0,57.775726443555605
1,4,0,0,31.22606579712383
1,2,0,1,39.38053010629721
1,4,1,1,53.84020937126989
1,2,1,1,50.72613388564673
1,2,0,1,41.17999878338665
1,3,1,1,56.16338178956897
0,2,0,0,7.5993870510185335
1,1,0,1,46.49234430867416
1,5,0,0,38.659892441784656
0,5,1,0,28.35427086419242
1,4,1,1,68.27489187868292
0,2,1,0,16.478604347050535
0,1,1,0,10.276546562317849
1,4,1,0,61.51455948861556
0,3,0,0,19.92861358411782
0,4,0,1,27.02767725930889
0,4,0,0,21.087539528467804
0,2,0,1,29.72935642413842
1,3,1,1,58.45810340475434
0,4,0,0,26.43074227553221
1,1,1,1,49.024015893669024
0,1,0,1,19.651266729767705
0,5,1,1,45.19870847955214
0,3,1,0,25.056742394881095
0,3,0,1,26.335251926742266
1,5,0,1,58.6722640372515
1,4,0,1,48.58342342083694
0,3,0,0,15.610269672515024
0,1,1,1,23.448271920220073
1,1,0,0,25.578424109972648
0,2,0,0,3.745018345090765
0,3,1,0,38.02988733479759
0,4,0,0,16.33529940610562
1,5,0,0,43.192696376202846
1,5,0,0,40.90367803222599
1,4,0,1,53.0785437458227
0,2,0,0,9.019986843788343
0,5,1,1,40.18096244951391
1,3,0,1,48.28441683112172
1,2,0,0,33.95824573961396
1,3,0,1,44.66561837761367
1,1,0,1,31.681870243089616
0,2,0,1,30.95533002779859
1,5,1,1,66.70033815262616
0,2,0,0,3.629655075233381
1,2,1,1,57.070202305013844
0,2,1,0,15.721126252937143
1,2,0,1,53.70939170134958
1,3,0,1,45.39828928763794
1,1,0,0,30.066580180276766
1,4,0,1,39.5999121957655
0,2,1,1,23.579295579550184
1,5,0,1,61.66929809880357
0,2,0,0,11.589075328145684
0,5,0,1,45.211982113570365
0,3,0,0,17.425875526147944
0,5,0,1,35.7264811987052
1,4,0,0,48.567869954111025
0,1,1,0,20.050684996127224
0,5,1,1,44.018694003618556
0,5,0,1,29.529479497507765
1,1,0,0,13.14192167617253
1,4,0,0,37.811671650986476
1,2,1,1,44.06832452389314
1,5,0,0,57.98852321617192
0,1,1,1,21.748145279649865
0,3,0,1,21.611454971874775
1,1,0,1,27.393775627056772
